#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	1.62	8.64	0.9
0.049	1.44	8.64	0.9
0.101	1.44	8.82	0.9
0.153	1.44	9	0.9
0.205	1.44	9.18	0.9
0.257	1.44	9.36	0.9
0.31	1.62	9.36	0.9
0.363	1.62	9.18	0.9
0.413	1.62	9	1.08
0.465	1.8	8.82	1.08
0.515	1.62	8.64	1.08
0.564	1.62	8.46	1.08
0.618	1.62	8.46	1.08
0.67	1.44	8.28	1.08
0.721	1.44	8.28	0.9
0.772	1.44	8.46	0.9
0.825	1.44	8.46	0.9
0.876	1.44	8.46	0.9
0.925	1.44	8.46	0.9
0.976	1.62	8.46	1.08
1.027	1.62	8.46	1.08
1.079	1.8	8.46	1.08
1.132	1.62	8.46	1.08
1.183	1.62	8.46	1.08
1.236	1.62	8.46	1.08
1.287	1.44	8.28	0.9
1.338	1.44	8.28	0.9
1.39	1.44	8.1	0.9
1.441	1.44	8.1	1.08
1.496	1.44	8.1	1.08
1.546	1.44	8.1	1.08
1.6	1.44	8.1	1.08
1.648	1.62	7.92	1.08
1.7	1.62	7.92	1.08
1.749	1.62	7.92	1.08
1.8	1.62	7.92	1.08
1.852	1.62	7.92	0.9
1.906	1.62	7.92	0.9
1.956	1.62	7.92	0.9
2.009	1.62	7.92	0.9
2.06	1.62	7.92	0.9
2.112	1.62	7.92	0.9
2.161	1.62	7.92	0.9
2.212	1.62	7.92	1.08
2.263	1.62	7.92	1.08
2.315	1.62	7.92	1.08
2.365	1.62	7.92	1.08
2.416	1.62	7.92	1.08
2.469	1.62	7.92	0.9
2.521	1.62	7.92	0.9
2.57	1.62	7.92	0.9
2.62	1.62	7.92	0.9
2.669	1.62	7.92	0.9
2.723	1.62	7.74	0.9
2.774	1.44	7.74	0.9
2.827	1.44	7.74	0.9
2.879	1.62	7.74	0.9
2.931	1.62	7.74	1.08
2.982	1.62	7.2	1.08
3.036	1.62	6.3	1.08
3.085	1.62	4.68	0.9
3.137	1.62	2.88	0.72
3.186	1.44	1.08	0.54
3.237	1.08	-1.08	0.18
