#﻿MIN=0	-90	-90	-90
#MAX=80	90	90	90
#SCALE=80	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	1.44	8.82	1.8
0.049	1.44	8.82	1.8
0.099	1.44	8.82	1.62
0.149	1.44	8.82	1.62
0.2	1.44	8.82	1.44
0.25	1.44	8.82	1.44
0.302	1.44	8.64	1.44
0.354	1.62	8.64	1.44
0.405	1.8	8.64	1.44
0.456	1.8	8.64	1.26
0.509	1.98	8.64	1.26
0.56	1.98	8.64	1.26
0.611	1.8	8.64	1.26
0.662	1.8	8.64	1.44
0.711	1.8	8.64	1.62
0.763	1.98	8.64	1.62
0.812	1.98	8.64	1.44
0.863	2.16	8.64	1.44
0.916	2.16	8.64	1.44
0.968	1.98	8.64	1.44
1.018	1.98	8.64	1.44
1.069	1.8	8.64	1.26
1.119	1.8	8.46	1.26
1.171	1.8	8.46	1.26
1.222	1.8	8.46	1.26
1.272	1.62	8.46	1.08
1.325	1.62	8.46	1.08
1.378	1.62	8.46	1.08
1.43	1.44	8.46	1.08
1.483	1.44	8.46	1.08
1.535	1.44	8.46	1.08
1.587	1.44	8.46	1.08
1.639	1.44	8.46	1.08
1.691	1.44	8.46	1.08
1.745	1.26	8.46	1.08
1.797	1.26	8.46	1.08
1.85	1.26	8.64	1.08
1.9	1.44	8.64	1.08
1.952	1.62	8.1	1.08
2.002	1.98	7.02	1.08
2.055	2.16	5.58	1.26
2.107	2.16	3.42	1.26
2.158	1.98	1.08	1.26
2.211	1.62	-1.26	1.26
2.264	0.72	-3.6	1.08
2.319	-0.18	-5.76	1.08
2.374	-1.44	-7.56	0.9
2.431	-2.88	-8.64	0.9
2.487	-3.78	-8.82	0.72
2.545	-4.32	-8.64	0.72
2.6	-4.5	-7.38	0.72
2.655	-3.96	-5.76	0.72
2.712	-2.88	-3.6	0.72
2.767	-1.44	-1.08	0.9
2.823	0.18	1.26	0.9
2.875	1.62	3.42	1.08
2.926	3.06	5.4	1.08
2.977	3.96	6.84	1.26
3.028	4.5	7.92	1.44
3.079	4.5	8.28	1.44
3.129	4.14	8.1	1.62
3.18	3.42	7.38	1.62
3.23	2.16	6.12	1.44
3.283	0.9	4.32	1.26
3.335	-0.18	1.98	1.08
3.389	-1.26	-0.36	0.9
3.443	-2.16	-2.7	0.72
3.497	-2.52	-5.04	0.72
3.554	-2.7	-6.84	0.54
3.611	-2.34	-8.28	0.54
3.665	-2.16	-8.82	0.54
3.72	-1.8	-8.82	0.72
3.776	-1.44	-7.92	0.9
3.831	-1.08	-6.48	1.08
3.888	-0.9	-4.5	1.08
3.944	-0.9	-1.98	1.26
4.001	-0.72	0.54	1.26
4.054	-0.36	2.88	1.26
4.107	0	4.86	1.26
4.156	0.72	6.48	1.26
4.207	1.26	7.56	1.26
4.26	2.16	8.28	1.08
4.313	2.88	8.1	1.08
4.362	3.42	7.56	1.08
4.411	3.6	6.48	1.08
4.461	3.6	4.68	1.08
4.512	3.06	2.7	0.9
4.563	2.16	0.54	0.9
4.613	1.08	-1.62	0.9
4.667	-0.54	-3.96	1.08
4.723	-1.98	-6.12	1.08
4.778	-3.42	-7.56	1.08
4.836	-4.32	-8.46	1.08
4.891	-4.86	-8.64	0.9
4.947	-4.68	-8.28	0.9
5.005	-3.78	-7.02	0.9
5.061	-2.52	-5.22	0.9
5.117	-1.08	-2.88	0.9
5.173	0.54	-0.72	0.9
5.227	1.8	1.8	0.9
5.279	2.88	3.78	0.9
5.329	3.42	5.58	1.08
5.38	3.6	7.02	1.08
5.431	3.6	7.92	1.26
5.482	3.06	8.1	1.26
5.535	2.34	7.92	1.26
5.586	1.62	7.02	1.26
5.637	0.72	5.58	1.26
5.687	0.18	3.78	1.26
5.737	-0.36	1.44	1.26
5.79	-0.72	-0.9	1.08
5.847	-0.9	-3.42	0.9
5.904	-1.08	-5.58	0.9
5.959	-1.26	-7.2	0.72
6.014	-1.44	-8.46	0.72
6.071	-1.62	-8.82	0.72
6.126	-1.98	-8.46	0.72
6.181	-2.16	-7.56	0.72
6.236	-2.34	-5.94	0.9
6.291	-2.34	-3.78	0.9
6.347	-1.98	-1.26	1.08
6.403	-1.44	1.08	1.26
6.456	-0.36	3.42	1.26
6.513	0.72	5.4	1.26
6.562	1.8	6.66	1.26
6.615	2.88	7.74	1.26
6.666	3.6	8.1	1.26
6.716	4.14	7.92	1.26
6.766	4.32	7.2	1.08
6.819	3.96	5.76	1.08
6.871	3.06	3.96	1.08
6.921	1.98	1.98	0.9
6.972	0.54	-0.18	0.9
7.023	-0.9	-2.52	0.9
7.078	-2.34	-4.68	0.9
7.133	-3.42	-6.48	0.9
7.189	-4.14	-7.92	0.9
7.242	-4.32	-8.46	0.9
7.297	-3.96	-8.64	0.9
7.352	-3.24	-7.92	0.9
7.407	-2.16	-6.66	0.9
7.462	-0.9	-4.68	0.9
7.518	0.18	-2.7	1.08
7.57	1.08	-0.36	1.08
7.627	1.8	1.98	1.08
7.677	2.16	4.14	1.08
7.728	2.34	5.94	1.08
7.78	2.16	7.2	1.08
7.83	1.98	7.92	1.08
7.881	1.8	8.1	1.26
7.935	1.62	7.74	1.26
7.989	1.44	6.48	1.26
8.039	1.26	5.04	1.26
8.09	1.08	3.06	1.26
8.142	0.9	0.9	1.26
8.192	0.72	-1.26	1.08
8.246	0.36	-3.6	1.08
8.3	-0.18	-5.76	0.9
8.356	-1.08	-7.38	0.9
8.411	-1.8	-8.28	0.72
8.466	-2.7	-8.64	0.72
8.519	-3.24	-8.28	0.72
8.574	-3.6	-7.2	0.72
8.632	-3.6	-5.58	0.72
8.688	-2.88	-3.42	0.9
8.743	-1.98	-1.08	0.9
8.799	-0.72	1.26	1.08
8.851	0.72	3.24	1.08
8.9	1.98	5.04	1.26
8.951	3.06	6.48	1.26
9.003	3.96	7.56	1.26
9.053	4.5	7.92	1.26
9.103	4.5	7.92	1.26
9.152	4.14	7.02	1.26
9.203	3.24	5.94	1.26
9.254	1.98	4.14	1.08
9.305	0.72	2.16	1.08
9.358	-0.54	0	0.9
9.41	-1.8	-2.34	0.9
9.467	-2.7	-4.5	0.9
9.523	-3.24	-6.48	0.9
9.58	-3.42	-7.92	0.9
9.637	-3.06	-8.46	0.9
9.692	-2.52	-8.64	0.9
9.747	-1.8	-7.74	0.9
9.805	-1.08	-6.3	0.9
9.861	-0.54	-4.32	1.08
9.92	0	-2.16	1.08
9.974	0.36	0.36	1.08
10.025	0.72	2.52	1.08
10.077	0.9	4.5	1.08
10.128	1.08	6.12	1.08
10.179	1.26	7.38	1.08
10.229	1.62	7.92	1.08
10.281	1.98	7.92	1.08
10.334	2.16	7.38	1.08
10.385	2.34	6.3	1.08
10.436	2.34	4.68	1.08
10.486	2.16	2.7	1.08
10.537	1.8	0.54	1.08
10.589	1.08	-1.62	1.08
10.641	0.18	-3.78	1.08
10.694	-0.9	-5.76	0.9
10.749	-1.98	-7.2	0.9
10.804	-3.06	-8.1	0.9
10.858	-3.78	-8.46	0.9
10.914	-4.14	-8.1	0.9
10.971	-3.96	-7.02	0.9
11.027	-3.24	-5.22	0.9
11.082	-2.16	-3.24	0.9
11.137	-0.72	-0.9	0.9
11.193	0.72	1.26	1.08
11.246	1.98	3.42	1.08
11.294	2.88	5.04	1.08
11.345	3.6	6.48	1.26
11.394	3.96	7.38	1.26
11.447	3.96	7.92	1.26
11.499	3.42	7.74	1.26
11.549	2.7	6.84	1.26
11.601	1.62	5.58	1.26
11.651	0.72	3.96	1.26
11.701	-0.18	1.8	1.08
11.753	-0.9	-0.36	1.08
11.811	-1.62	-2.7	0.9
11.867	-1.98	-4.86	0.9
11.922	-2.16	-6.66	0.72
11.979	-1.98	-7.92	0.72
12.034	-1.98	-8.46	0.72
12.088	-1.8	-8.28	0.72
12.145	-1.62	-7.56	0.9
12.202	-1.44	-5.94	0.9
12.259	-1.44	-3.96	1.08
12.315	-1.08	-1.62	1.08
12.371	-0.72	0.72	1.08
12.424	-0.36	3.06	1.08
12.479	0.36	4.86	1.26
12.529	1.08	6.3	1.26
12.58	1.8	7.38	1.26
12.631	2.52	7.74	1.26
12.681	3.06	7.74	1.26
12.734	3.42	7.02	1.08
12.786	3.42	5.76	1.08
12.836	3.06	4.14	1.08
12.89	2.34	2.16	1.08
12.939	1.44	0	1.08
12.991	0.18	-1.98	0.9
13.043	-1.08	-4.14	0.9
13.099	-2.34	-6.12	0.9
13.157	-3.6	-7.38	0.9
13.214	-4.14	-8.28	0.9
13.271	-4.32	-8.28	0.9
13.326	-3.78	-7.56	0.9
13.382	-2.88	-6.3	0.9
13.439	-1.8	-4.5	0.9
13.495	-0.36	-2.34	0.9
13.552	0.9	0	0.9
13.603	1.8	1.98	1.08
13.653	2.52	3.96	1.08
13.706	2.88	5.76	1.08
13.759	3.06	7.02	1.08
13.81	2.88	7.56	1.26
13.86	2.52	7.74	1.26
13.911	1.98	7.38	1.26
13.962	1.44	6.3	1.26
14.012	0.9	4.86	1.26
14.064	0.36	3.06	1.08
14.115	0	0.9	1.08
14.164	-0.36	-1.26	1.08
14.221	-0.54	-3.6	0.9
14.275	-0.9	-5.58	0.9
14.329	-1.26	-7.2	0.9
14.389	-1.62	-8.1	0.72
14.445	-1.98	-8.28	0.72
14.501	-2.34	-7.92	0.72
14.557	-2.52	-6.84	0.9
14.612	-2.52	-5.04	0.9
14.667	-2.34	-3.06	0.9
14.723	-1.62	-0.72	1.08
14.779	-0.9	1.44	1.08
14.832	0.18	3.42	1.08
14.882	1.26	5.22	1.26
14.934	2.34	6.48	1.26
14.987	3.06	7.38	1.26
15.039	3.78	7.74	1.26
15.09	3.96	7.38	1.26
15.142	3.78	6.48	1.26
15.195	3.24	5.04	1.08
15.249	2.16	3.24	1.08
15.299	1.08	1.44	1.08
15.349	-0.18	-0.9	0.9
15.403	-1.44	-2.88	0.9
15.458	-2.52	-4.86	0.9
15.513	-3.24	-6.66	0.9
15.571	-3.6	-7.74	0.9
15.63	-3.6	-8.28	0.9
15.686	-3.06	-7.92	0.9
15.739	-2.34	-7.2	0.9
15.796	-1.44	-5.58	0.9
15.851	-0.54	-3.6	0.9
15.908	0.36	-1.44	0.9
15.962	1.08	0.9	1.08
16.012	1.44	2.88	1.08
16.063	1.8	4.68	1.08
16.114	1.8	6.3	1.08
16.167	1.98	7.2	1.08
16.218	1.98	7.74	1.26
16.271	1.8	7.56	1.26
16.322	1.8	6.84	1.26
16.375	1.62	5.58	1.26
16.426	1.44	3.96	1.26
16.476	1.26	1.98	1.08
16.527	0.9	-0.18	1.08
16.581	0.54	-2.34	1.08
16.633	-0.18	-4.5	0.9
16.69	-0.9	-6.12	0.9
16.744	-1.62	-7.38	0.9
16.8	-2.52	-8.1	0.9
16.856	-3.06	-8.1	0.9
16.912	-3.42	-7.38	0.9
16.967	-3.42	-6.12	0.9
17.024	-2.88	-4.32	0.9
17.08	-1.98	-2.16	0.9
17.136	-0.9	0.18	1.08
17.19	0.36	2.16	1.08
17.242	1.62	4.14	1.08
17.294	2.7	5.76	1.26
17.344	3.42	6.84	1.26
17.398	3.96	7.38	1.26
17.451	3.96	7.56	1.26
17.504	3.6	7.02	1.26
17.555	2.88	5.94	1.26
17.608	1.8	4.32	1.08
17.659	0.72	2.52	1.08
17.71	-0.36	0.36	1.08
17.762	-1.44	-1.8	0.9
17.819	-2.16	-3.78	0.9
17.872	-2.7	-5.76	0.9
17.926	-2.88	-7.02	0.9
17.979	-2.7	-7.92	0.9
18.034	-2.34	-8.1	0.9
18.091	-1.98	-7.74	0.9
18.146	-1.44	-6.66	0.9
18.202	-0.9	-4.86	0.9
18.257	-0.54	-2.88	1.08
