#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	11.7	0.36	0
0.049	12.06	0.54	0
0.099	12.42	0.54	0
0.153	12.6	0.54	0
0.204	12.78	0.54	0
0.255	12.78	0.54	0
0.305	12.78	0.54	0
0.354	12.78	0.54	0
0.405	12.78	0.54	0
0.457	12.78	0.54	0
0.506	12.6	0.54	0
0.555	12.6	0.36	0
0.602	12.42	0.36	0
0.654	12.42	0.36	0
0.703	12.24	0.36	0
0.752	12.24	0.18	0
0.802	12.24	0.18	0
0.852	12.24	0.18	0
0.904	12.06	0.18	0
0.956	12.06	0.18	0
1.007	11.88	0.18	0
1.059	11.88	0.36	0
1.11	12.06	0.36	0
1.161	12.06	0.36	0
1.214	12.24	0.36	0
1.264	12.42	0.36	0
1.315	12.42	0.36	0
1.367	12.42	0.36	0
1.417	12.42	0.36	0
1.469	12.42	0.36	0
1.52	12.42	0.36	0
1.57	12.42	0.36	0
1.62	12.42	0.36	0
1.673	12.42	0.36	0
1.723	12.42	0.36	0
1.772	12.6	0.36	-0.36
1.827	12.6	0.36	-1.26
1.882	12.78	0.36	-2.16
1.938	12.78	0.36	-3.06
1.993	12.78	0.36	-4.5
2.048	12.78	0.36	-6.12
2.104	12.78	0.36	-7.74
2.158	12.78	0.36	-9.36
2.212	12.78	0.36	-10.98
2.266	12.78	0.36	-12.42
2.319	12.96	0.36	-13.86
2.371	12.96	0.36	-15.3
2.425	12.96	0.36	-16.56
2.476	12.96	0.36	-17.82
2.531	12.96	0.18	-18.9
2.588	12.78	0.18	-19.44
2.642	12.6	0.18	-19.98
2.696	12.42	0.18	-20.34
2.753	12.24	0.18	-20.34
2.809	12.24	0.18	-20.52
2.865	12.42	0.18	-20.34
2.919	12.6	0.18	-20.16
2.973	12.6	0.18	-19.98
3.026	12.6	0.18	-19.98
3.077	12.6	0.18	-19.98
3.13	12.42	0.18	-19.98
3.181	12.42	0.18	-19.62
3.236	12.42	0.36	-19.44
3.286	12.42	0.36	-19.08
3.339	12.6	0.36	-18.9
3.391	12.78	0.36	-18.9
3.445	12.96	0.36	-18.9
3.496	13.14	0.36	-18.9
3.547	13.32	0.36	-19.08
3.598	13.32	0.36	-19.26
3.654	13.14	0.36	-19.44
3.709	13.14	0.36	-19.62
3.763	12.96	0.36	-19.98
3.816	12.96	0.36	-20.16
3.869	12.96	0.36	-20.16
3.921	12.96	0.36	-20.16
3.975	13.14	0.36	-19.98
4.026	13.14	0.36	-19.98
4.079	13.32	0.36	-19.98
4.13	13.32	0.36	-20.16
4.185	13.5	0.36	-20.34
4.239	13.68	0.36	-20.52
4.296	13.86	0.36	-20.7
