#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	-4.86	-0.18	2.34
0.054	-4.32	-0.18	2.52
0.112	-3.6	-0.18	2.34
0.17	-2.7	0	1.8
0.224	-1.98	0.18	1.08
0.277	-1.26	0.36	0
0.331	-0.9	0.54	-0.72
0.385	-0.9	0.72	-1.44
0.442	-1.08	0.9	-1.98
0.499	-1.62	0.9	-1.8
0.555	-2.52	1.08	-1.44
0.61	-3.42	1.08	-0.72
0.668	-4.14	1.08	0.18
0.72	-4.5	0.9	1.08
0.774	-4.86	0.72	1.98
0.829	-4.68	0.54	2.52
0.881	-4.32	0.36	2.52
0.936	-3.6	0.18	2.34
0.989	-2.88	0	1.8
1.043	-2.16	0	1.08
1.097	-1.44	-0.18	0
1.151	-1.08	-0.18	-0.9
1.211	-0.9	-0.18	-1.62
1.27	-1.26	-0.18	-1.98
1.329	-1.8	0	-1.98
1.387	-2.7	0.18	-1.44
1.444	-3.42	0.36	-0.54
1.5	-4.14	0.54	0.36
1.552	-4.5	0.54	1.26
1.604	-4.68	0.72	1.98
1.659	-4.68	0.9	2.52
1.714	-4.14	0.9	2.7
1.769	-3.6	1.08	2.34
1.828	-2.7	1.08	1.62
1.882	-1.98	1.26	0.72
1.936	-1.44	1.44	-0.18
1.993	-0.9	1.98	-1.08
2.05	-0.9	2.88	-1.62
2.106	-1.26	3.78	-1.8
2.16	-1.62	4.68	-1.8
2.215	-2.34	5.76	-1.08
2.272	-3.06	7.02	-0.18
2.33	-3.6	8.1	0.9
2.384	-4.14	9.18	1.8
2.439	-4.14	10.08	2.7
2.494	-3.96	10.98	3.24
2.548	-3.42	11.88	3.24
2.603	-2.7	12.42	3.06
2.656	-1.98	12.96	2.34
2.711	-1.26	13.5	1.44
2.763	-0.54	13.86	0.54
2.817	-0.18	14.4	-0.36
2.872	-0.18	14.58	-1.08
2.929	-0.36	14.94	-1.26
2.986	-1.08	15.48	-1.26
3.041	-1.62	15.66	-0.72
3.098	-2.52	16.02	0.18
3.151	-3.06	16.38	1.08
3.206	-3.6	16.56	1.98
3.259	-3.78	16.74	2.88
3.313	-3.6	16.74	3.42
3.365	-3.24	16.56	3.6
3.418	-2.7	16.38	3.24
3.473	-1.98	16.02	2.7
3.53	-1.26	15.84	1.8
3.583	-0.54	15.66	0.72
3.638	-0.18	15.66	-0.18
3.694	-0.18	15.66	-0.9
3.751	-0.36	15.66	-1.26
3.809	-1.08	15.84	-1.26
3.865	-1.8	16.2	-0.9
3.921	-2.52	16.56	0
3.972	-3.06	16.56	1.08
4.029	-3.6	16.74	1.98
4.082	-3.78	16.74	2.88
4.136	-3.6	16.56	3.42
4.191	-3.24	16.38	3.6
4.247	-2.52	16.2	3.42
4.302	-1.8	16.2	2.7
4.358	-1.08	16.2	1.8
4.41	-0.54	16.2	0.9
4.464	-0.18	16.02	-0.18
4.52	-0.18	15.84	-0.9
4.574	-0.54	15.66	-1.26
4.631	-0.9	15.48	-1.26
4.688	-1.62	15.3	-0.9
4.745	-2.52	15.12	-0.18
4.801	-3.06	14.94	0.72
4.857	-3.6	14.94	1.08
4.911	-3.78	14.94	1.62
4.965	-3.78	15.12	1.8
5.019	-3.42	15.12	1.8
5.073	-2.7	15.12	1.26
5.127	-1.98	15.12	0.72
5.179	-1.26	15.12	0.36
5.232	-0.72	15.12	0.72
5.286	-0.36	14.94	2.52
5.34	-0.18	14.76	5.04
5.393	-0.36	14.58	8.1
5.446	-1.08	14.4	11.16
5.498	-2.52	14.22	13.86
5.552	-5.22	14.22	15.48
5.603	-8.46	14.04	16.2
5.657	-11.88	14.04	16.92
5.712	-14.94	14.04	18
5.766	-16.74	14.04	18.9
5.82	-18	14.22	19.62
5.877	-18.9	14.22	20.34
5.933	-19.26	14.4	21.06
5.985	-19.62	14.58	21.42
6.038	-19.8	14.94	21.78
6.09	-19.8	15.12	21.96
6.144	-19.8	15.48	22.14
6.197	-19.44	15.66	22.32
6.252	-19.26	16.02	22.5
6.308	-18.9	16.2	22.5
6.362	-18.9	16.38	22.5
6.415	-18.72	16.56	22.68
6.473	-18.72	16.56	22.68
6.528	-18.54	16.38	22.86
6.585	-18.54	16.38	23.04
6.641	-18.54	16.2	23.04
6.697	-18.54	16.02	23.22
6.752	-18.72	15.84	23.22
6.804	-18.9	15.48	23.22
6.857	-19.44	15.3	23.4
6.91	-19.44	15.12	23.4
6.962	-17.82	14.76	23.4
7.015	-13.68	13.86	23.22
7.071	-7.56	12.42	21.24
7.124	-0.72	10.44	16.38
7.175	5.58	7.56	9
7.227	10.8	4.14	0.54
7.277	13.86	0.72	-7.92
7.333	14.76	-3.06	-15.66
7.388	12.42	-6.48	-20.7
7.443	7.56	-9.36	-22.14
7.5	0.72	-11.52	-19.62
7.556	-6.84	-11.52	-13.32
7.614	-14.04	-11.52	-5.04
7.671	-19.44	-11.52	4.68
7.727	-21.6	-9.54	12.6
7.783	-21.06	-6.48	18.54
7.84	-17.28	-2.88	21.06
7.895	-10.98	0.9	20.16
