#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	9.18	0	1.62
0.051	9.18	0	1.62
0.102	9.18	0	1.62
0.151	9.18	0	1.62
0.203	9.18	0	1.8
0.254	9.36	0	1.8
0.305	9.36	0	1.8
0.354	9.36	0	1.8
0.405	9.36	0	1.8
0.456	9.54	0	1.8
0.507	9.54	0	1.8
0.558	9.54	0	1.8
0.609	9.54	0	1.8
0.661	9.54	0	1.8
0.713	9.54	0	1.8
0.767	9.54	0	1.8
0.819	9.54	0	1.8
0.87	9.54	0	1.8
0.922	9.72	0	1.8
0.974	9.9	0	1.8
1.025	9.9	0	1.8
1.076	10.08	0	1.8
1.128	10.08	0	1.98
1.179	10.08	0	1.98
1.233	10.08	0	1.98
1.283	9.9	0	1.98
1.334	9.9	0	1.98
1.385	10.08	0	1.98
1.435	10.08	0	2.16
1.485	10.08	0	2.16
1.538	10.08	0	2.16
1.588	10.08	0	2.34
1.641	10.08	0	2.52
1.693	10.08	0	2.52
1.744	10.08	0	2.7
1.798	10.08	0	2.7
1.846	10.08	0	2.88
1.898	10.08	0	2.88
1.95	10.08	0	3.06
1.999	10.08	0	2.88
2.053	10.26	0	2.52
2.103	10.26	0	1.8
2.153	10.26	0	1.08
2.207	10.08	0	0.36
2.257	8.46	0.18	-0.36
2.312	4.86	0.18	-0.9
2.368	0.54	0.36	-1.08
2.421	-3.78	0.36	-0.9
2.477	-7.56	0.36	-0.36
2.533	-9.72	0.18	0.36
2.584	-9.9	0	1.26
2.638	-8.1	-0.36	1.98
2.691	-5.04	-0.72	2.52
2.748	-0.54	-1.08	2.88
2.806	3.96	-1.26	3.06
2.858	7.2	-1.26	2.7
2.913	9.18	-1.44	2.16
2.966	9.36	-1.26	1.26
3.023	7.56	-0.9	0.54
3.077	4.32	-0.54	-0.18
3.132	0	0	-0.72
3.186	-4.14	0.36	-0.9
3.241	-7.56	0.72	-0.9
3.296	-9.36	0.9	-0.54
3.353	-9.18	0.9	0.18
3.405	-7.38	0.9	0.9
3.459	-3.96	0.54	1.62
3.511	0	0.36	2.34
3.562	3.96	0	2.7
3.613	7.2	-0.36	2.88
3.67	9.36	-0.54	2.7
3.725	9.54	-0.9	2.34
3.78	7.74	-0.9	1.62
3.835	4.32	-0.9	0.9
3.891	0	-0.9	0.18
3.944	-4.14	-0.72	-0.54
4.004	-7.92	-0.54	-0.9
4.063	-9.72	-0.54	-0.9
4.125	-9.36	-0.36	-0.54
4.185	-6.48	-0.36	0.18
4.244	-2.52	-0.36	0.9
4.298	1.8	-0.36	1.62
4.353	5.76	-0.36	2.34
4.406	8.46	-0.18	2.7
4.46	9.54	-0.18	2.88
4.512	9	0	2.7
4.565	6.66	0.18	2.34
4.616	3.24	0.36	1.8
4.668	-0.72	0.54	1.08
4.722	-4.68	0.54	0.36
4.777	-7.74	0.54	-0.36
4.834	-9.36	0.36	-0.72
4.89	-8.82	0.18	-0.9
4.944	-6.66	-0.18	-0.54
5.003	-2.88	-0.54	-0.18
5.061	1.62	-0.9	0.54
5.114	5.22	-1.26	1.26
5.167	7.92	-1.44	1.98
5.222	9	-1.44	2.52
5.276	8.28	-1.26	2.7
5.331	5.76	-1.08	2.7
5.386	2.16	-0.72	2.52
5.439	-1.8	-0.18	1.8
5.498	-5.94	0.18	1.08
5.553	-8.28	0.54	0.36
5.605	-9.18	0.72	-0.18
5.663	-8.1	0.72	-0.72
5.719	-5.22	0.72	-0.9
5.775	-1.44	0.54	-0.72
5.831	2.88	0.18	-0.36
5.885	6.3	0	0.36
5.936	8.46	-0.18	1.08
5.991	9.36	-0.36	1.8
6.045	8.28	-0.54	2.34
6.099	5.58	-0.54	2.7
6.154	1.62	-0.54	2.88
6.208	-2.52	-0.54	2.52
6.266	-6.3	-0.54	1.98
6.322	-8.82	-0.54	1.26
6.378	-9.36	-0.54	0.54
6.435	-8.1	-0.54	-0.18
6.492	-5.04	-0.54	-0.72
6.551	-0.72	-0.72	-0.9
6.609	3.6	-0.72	-0.72
6.666	7.02	-0.54	-0.36
6.723	8.82	-0.54	0.36
6.777	9	-0.18	1.08
6.831	7.2	0	1.8
6.883	4.32	0.18	2.34
6.933	0.72	0.54	2.7
6.983	-3.06	0.54	2.88
7.036	-6.3	0.72	2.7
7.089	-8.28	0.72	2.34
7.143	-8.82	0.54	1.62
7.194	-7.74	0.36	0.9
7.248	-5.04	0	0.18
7.299	-1.44	-0.36	-0.36
7.359	2.88	-0.72	-0.72
7.417	6.3	-1.08	-0.9
7.473	8.46	-1.26	-0.54
7.533	8.64	-1.26	0
7.587	7.02	-1.26	0.72
7.639	4.14	-1.08	1.44
7.693	0.36	-0.72	1.98
7.747	-3.6	-0.36	2.52
7.805	-7.02	0	2.7
7.859	-8.64	0.18	2.7
7.911	-8.82	0.36	2.34
7.965	-7.2	0.36	1.8
8.016	-4.32	0.36	1.26
8.069	-0.54	0.36	0.54
8.12	3.24	0.36	-0.18
8.175	6.48	0.18	-0.54
8.229	8.64	0	-0.72
8.283	9	0	-0.72
8.34	7.56	-0.18	-0.36
8.397	4.5	-0.18	0.36
8.448	0.9	-0.18	1.08
8.502	-3.06	-0.18	1.8
8.558	-6.48	-0.18	2.34
8.614	-8.64	-0.36	2.7
8.669	-9	-0.54	2.7
8.724	-7.56	-0.54	2.52
8.781	-4.32	-0.72	1.98
8.838	-0.18	-0.9	1.26
8.896	3.78	-0.9	0.54
8.949	6.84	-0.9	0
9.003	8.46	-0.9	-0.54
9.063	8.46	-0.54	-0.72
9.119	6.66	-0.18	-0.72
9.174	3.42	0	-0.36
9.229	-0.54	0.36	0.36
9.282	-3.96	0.72	0.9
9.336	-7.02	0.72	1.62
9.39	-8.28	0.72	2.34
9.443	-8.1	0.72	2.7
9.496	-6.48	0.54	2.7
9.547	-3.6	0.18	2.7
9.6	0	-0.18	2.34
9.654	3.78	-0.54	1.62
9.71	6.84	-0.9	0.9
9.765	8.28	-1.08	0.18
9.818	8.28	-1.08	-0.36
9.876	6.3	-1.08	-0.72
9.932	3.06	-1.08	-0.72
9.988	-0.72	-0.9	-0.54
10.046	-4.68	-0.54	0
10.102	-7.38	-0.36	0.72
10.159	-8.64	-0.18	1.44
10.217	-8.1	0	2.16
10.269	-5.94	0	2.52
10.322	-2.52	0.18	2.7
10.378	1.44	0.18	2.7
10.431	4.86	0.18	2.34
10.481	7.38	0	1.8
10.534	8.64	0	1.26
10.583	8.46	0	0.54
10.634	6.84	0	0
10.685	3.96	0.18	-0.54
10.738	0.36	0.18	-0.72
10.789	-3.24	0.18	-0.72
10.847	-6.48	0	-0.36
10.903	-8.28	0	0.18
10.955	-8.46	-0.18	0.9
11.011	-7.02	-0.54	1.62
11.067	-3.96	-0.72	2.16
11.124	0	-0.9	2.52
11.178	3.6	-1.08	2.7
11.231	6.48	-1.08	2.52
11.285	8.1	-1.08	2.16
11.339	8.1	-0.9	1.44
11.392	6.66	-0.72	0.9
11.445	3.78	-0.36	0.18
11.497	0.36	0	-0.18
11.55	-3.06	0.36	-0.54
11.604	-6.12	0.54	-0.72
11.66	-7.92	0.72	-0.54
11.716	-8.1	0.72	0
11.768	-6.48	0.72	0.54
11.822	-3.78	0.54	1.26
11.876	-0.18	0.18	1.98
11.928	3.24	0	2.34
11.981	6.12	-0.36	2.7
12.032	7.92	-0.72	2.7
12.086	8.28	-0.9	2.34
12.14	7.02	-0.9	1.98
12.194	4.14	-0.9	1.26
12.248	0.54	-0.9	0.54
12.303	-3.06	-0.72	0
12.361	-6.48	-0.54	-0.54
12.42	-8.28	-0.54	-0.72
12.479	-8.28	-0.36	-0.54
12.538	-6.48	-0.36	-0.18
12.597	-3.06	-0.18	0.54
12.653	0.9	-0.18	1.26
12.711	4.5	-0.18	1.98
12.765	7.2	-0.18	2.34
12.821	8.46	0	2.7
12.874	7.92	0	2.7
12.927	6.12	0.18	2.34
12.978	3.06	0.36	1.98
13.03	-0.36	0.36	1.26
13.084	-3.78	0.36	0.72
13.136	-6.48	0.36	0
13.191	-8.1	0.18	-0.36
13.248	-7.92	0	-0.54
13.304	-5.94	-0.18	-0.54
13.363	-2.7	-0.54	-0.18
13.421	0.9	-0.9	0.36
13.472	4.14	-1.08	0.9
13.525	6.66	-1.26	1.62
13.577	7.74	-1.26	2.16
13.631	7.56	-1.08	2.52
13.688	5.58	-0.9	2.7
13.743	2.52	-0.54	2.52
13.798	-1.08	-0.18	1.98
13.857	-4.68	0.18	1.44
13.91	-7.02	0.36	0.72
13.964	-7.92	0.54	0.18
14.015	-7.38	0.72	-0.18
14.072	-5.22	0.54	-0.54
14.126	-2.16	0.54	-0.54
14.182	1.62	0.36	-0.36
14.236	4.86	0	0.18
14.287	7.02	-0.18	0.72
14.341	8.1	-0.36	1.26
14.394	7.56	-0.54	1.98
14.45	5.58	-0.54	2.34
14.504	2.34	-0.54	2.52
14.559	-1.26	-0.54	2.52
14.614	-4.68	-0.54	2.16
14.671	-7.2	-0.54	1.62
14.726	-8.28	-0.54	1.08
14.78	-7.56	-0.54	0.36
14.836	-5.4	-0.54	-0.18
14.897	-1.8	-0.54	-0.54
14.958	2.34	-0.54	-0.54
15.017	5.58	-0.54	-0.36
15.073	7.56	-0.36	0.18
15.13	7.92	-0.18	0.72
15.184	6.84	0	1.26
15.233	4.5	0.18	1.98
15.285	1.26	0.36	2.34
15.337	-1.98	0.54	2.52
15.389	-5.04	0.54	2.52
15.443	-7.02	0.54	2.34
15.498	-7.74	0.54	1.8
15.55	-7.02	0.18	1.26
15.605	-4.68	0	0.54
15.657	-1.62	-0.36	0
15.715	1.98	-0.72	-0.36
15.771	5.04	-0.9	-0.54
15.825	7.02	-1.08	-0.54
15.882	7.56	-1.26	-0.18
15.937	6.48	-1.26	0.36
15.991	4.14	-1.08	1.08
16.045	0.9	-0.72	1.62
16.101	-2.7	-0.36	2.16
16.16	-5.76	0	2.52
16.211	-7.38	0.18	2.52
16.265	-7.74	0.36	2.34
16.317	-6.66	0.36	1.98
16.37	-4.32	0.36	1.44
16.425	-0.9	0.36	0.9
16.479	2.52	0.36	0.18
16.53	5.4	0.18	-0.18
16.584	7.38	0	-0.36
16.637	7.92	0	-0.54
16.693	7.02	-0.18	-0.36
16.75	4.5	-0.18	0.18
16.802	1.26	-0.18	0.72
16.856	-2.16	-0.18	1.26
16.909	-5.22	-0.36	1.98
16.968	-7.38	-0.36	2.34
17.024	-7.92	-0.54	2.52
17.08	-6.84	-0.54	2.34
17.137	-4.32	-0.72	2.16
17.193	-0.9	-0.9	1.62
17.248	2.7	-0.9	0.9
17.303	5.58	-0.9	0.36
17.357	7.2	-0.72	-0.18
17.416	7.56	-0.54	-0.36
17.472	6.12	-0.18	-0.54
17.53	3.42	0	-0.36
17.583	0.18	0.36	0.18
17.636	-3.06	0.54	0.72
17.689	-5.58	0.72	1.26
17.742	-7.2	0.72	1.8
17.795	-7.38	0.72	2.16
17.849	-5.94	0.36	2.52
17.904	-3.42	0.18	2.52
17.959	-0.18	-0.18	2.16
18.014	3.06	-0.54	1.8
18.065	5.58	-0.72	1.26
18.118	7.02	-0.9	0.72
18.171	7.2	-1.08	0.18
18.225	6.12	-1.08	-0.36
18.279	3.6	-1.08	-0.54
18.334	0.36	-0.9	-0.36
18.389	-3.06	-0.54	-0.18
18.449	-5.94	-0.36	0.36
18.504	-7.38	-0.18	1.08
18.561	-7.38	0	1.62
18.614	-5.94	0	2.16
18.667	-3.24	0.18	2.34
18.721	0	0.18	2.52
18.77	3.06	0.18	2.34
18.822	5.58	0.18	1.98
18.872	7.2	0	1.62
18.924	7.74	0	1.08
18.975	6.66	0	0.54
19.027	4.5	0	0
19.077	1.62	0	-0.36
19.13	-1.62	0	-0.36
19.184	-4.5	0	-0.36
19.241	-6.84	0	0
19.296	-7.56	-0.18	0.54
19.353	-6.66	-0.36	1.08
19.409	-4.5	-0.72	1.8
19.468	-1.08	-0.9	2.16
19.528	2.52	-1.08	2.34
19.585	5.22	-1.08	2.34
19.638	6.84	-1.08	2.16
19.692	7.2	-0.9	1.62
19.747	5.94	-0.54	1.08
19.8	3.6	-0.36	0.54
19.854	0.54	0	0.18
19.904	-2.34	0.36	-0.18
19.962	-5.22	0.54	-0.36
20.018	-6.84	0.72	-0.36
20.078	-7.02	0.72	0
20.13	-5.58	0.54	0.54
20.183	-3.24	0.36	1.08
20.238	0	0.18	1.62
20.291	2.88	-0.18	1.98
20.346	5.58	-0.36	2.34
20.399	7.02	-0.72	2.34
20.454	7.02	-0.9	2.34
20.508	5.76	-0.9	1.98
20.563	3.24	-0.9	1.26
20.617	0	-0.9	0.72
20.671	-3.06	-0.72	0.18
20.728	-5.76	-0.54	-0.18
20.787	-7.38	-0.36	-0.36
20.847	-7.2	-0.36	-0.36
20.907	-5.22	-0.18	0
20.965	-2.16	-0.18	0.54
21.023	1.26	-0.18	1.08
21.078	4.32	-0.18	1.62
21.132	6.48	0	1.98
21.183	7.38	0	2.34
21.235	7.02	0	2.34
21.289	5.22	0.18	2.34
21.342	2.52	0.18	1.98
21.393	-0.54	0.36	1.44
21.446	-3.42	0.36	0.9
21.502	-5.94	0.36	0.36
21.556	-7.02	0.18	0
21.609	-6.84	0	-0.36
21.667	-5.22	-0.36	-0.36
21.726	-2.34	-0.72	-0.18
21.785	1.08	-0.9	0.36
21.838	3.96	-1.08	0.72
21.89	5.94	-1.08	1.26
21.944	6.84	-1.08	1.8
21.997	6.48	-1.08	2.16
22.051	4.68	-0.72	2.34
22.106	1.98	-0.54	2.34
22.159	-0.9	-0.18	1.98
22.215	-3.96	0.18	1.62
22.268	-5.94	0.36	1.08
22.322	-6.84	0.54	0.54
22.375	-6.48	0.54	0
22.428	-4.68	0.54	-0.18
22.483	-1.98	0.36	-0.36
22.542	1.26	0.18	-0.18
22.595	4.14	0	0
22.644	5.94	-0.18	0.54
22.696	7.02	-0.36	1.08
22.749	6.66	-0.54	1.62
22.802	5.04	-0.54	1.98
22.859	2.34	-0.54	2.34
22.913	-0.72	-0.54	2.34
22.97	-3.78	-0.54	2.16
23.025	-6.12	-0.54	1.8
23.081	-7.2	-0.54	1.26
23.136	-6.66	-0.54	0.72
23.191	-5.04	-0.54	0.18
23.247	-2.16	-0.54	-0.18
23.307	1.26	-0.54	-0.36
23.362	4.14	-0.54	-0.36
23.418	6.3	-0.36	0
23.471	7.02	-0.18	0.36
23.524	6.48	0	0.9
23.576	4.86	0.18	1.44
23.624	2.34	0.36	1.8
23.675	-0.54	0.36	2.16
23.729	-3.42	0.54	2.34
23.781	-5.58	0.54	2.34
23.836	-6.66	0.36	1.98
23.892	-6.48	0.18	1.62
23.945	-4.86	0	1.08
24.002	-2.34	-0.36	0.54
24.06	0.9	-0.72	0
24.113	3.6	-0.9	-0.18
24.171	5.76	-1.08	-0.36
24.227	6.48	-1.08	-0.18
24.284	5.94	-1.08	0.18
24.336	4.14	-0.9	0.72
24.39	1.44	-0.72	1.26
24.446	-1.44	-0.36	1.8
24.503	-4.32	-0.18	2.16
24.559	-6.12	0.18	2.34
24.612	-6.66	0.36	2.34
24.663	-6.12	0.36	1.98
24.716	-4.32	0.36	1.62
24.769	-1.62	0.36	1.26
24.822	1.26	0.36	0.72
24.872	3.96	0.18	0.36
24.922	5.76	0	0
24.972	6.84	0	-0.18
25.024	6.66	-0.18	-0.18
25.08	5.04	-0.18	0
25.134	2.52	-0.18	0.36
25.188	-0.36	-0.36	0.9
25.246	-3.6	-0.36	1.44
25.305	-5.94	-0.36	1.8
25.363	-6.84	-0.54	2.16
25.42	-6.48	-0.54	2.16
25.477	-4.5	-0.72	2.16
25.534	-1.62	-0.72	1.8
25.591	1.44	-0.72	1.26
25.646	4.14	-0.72	0.9
25.7	5.94	-0.72	0.36
25.752	6.66	-0.54	0
25.804	6.12	-0.36	-0.18
25.86	4.32	0	-0.18
25.913	1.62	0.18	0
25.967	-1.08	0.36	0.36
26.021	-3.78	0.54	0.72
26.075	-5.58	0.54	1.26
26.128	-6.3	0.54	1.8
26.181	-5.94	0.54	1.98
26.234	-4.32	0.18	2.16
26.286	-1.8	0	2.16
26.34	0.9	-0.36	1.98
26.393	3.6	-0.54	1.62
26.447	5.58	-0.9	1.08
26.503	6.3	-0.9	0.72
26.556	5.94	-1.08	0.18
26.609	4.32	-1.08	-0.18
26.667	1.62	-0.9	-0.18
26.723	-1.26	-0.72	-0.18
26.781	-4.14	-0.36	0.18
26.838	-5.94	-0.18	0.54
26.895	-6.48	0	1.08
26.95	-5.76	0	1.62
27.003	-3.78	0.18	1.98
27.056	-1.26	0.18	2.16
27.109	1.62	0.18	2.16
27.161	4.14	0.18	2.16
27.212	5.76	0	1.8
27.262	6.66	0	1.44
27.313	6.3	0	0.9
27.363	4.86	0	0.54
27.412	2.7	0	0.18
27.463	0	0	-0.18
27.519	-2.88	0	-0.18
27.574	-5.04	0	-0.18
27.627	-6.3	-0.18	0.18
27.683	-6.3	-0.36	0.72
27.738	-5.04	-0.54	1.08
27.794	-2.7	-0.72	1.62
27.849	0.18	-0.9	1.98
27.903	2.88	-0.9	2.16
27.957	5.04	-0.9	2.16
28.011	6.12	-0.9	1.98
28.066	5.94	-0.72	1.62
28.118	4.86	-0.54	1.26
28.172	2.52	-0.18	0.72
28.226	-0.18	0.18	0.36
28.281	-2.88	0.36	0
28.334	-4.86	0.54	-0.18
28.391	-5.94	0.54	-0.18
28.447	-5.76	0.54	0.18
28.501	-4.5	0.54	0.54
28.552	-2.34	0.36	0.9
28.605	0.36	0	1.44
28.654	2.7	-0.18	1.8
28.707	4.86	-0.36	1.98
28.759	5.94	-0.72	2.16
28.813	6.12	-0.72	2.16
28.863	5.04	-0.9	1.98
28.918	2.88	-0.9	1.44
28.975	0	-0.9	1.08
29.028	-2.7	-0.72	0.54
29.085	-5.04	-0.54	0.18
29.141	-6.12	-0.36	-0.18
29.201	-6.12	-0.36	-0.18
29.26	-4.68	-0.18	0
29.316	-2.34	-0.18	0.36
29.373	0.72	-0.18	0.72
29.426	3.24	-0.18	1.26
29.478	5.22	0	1.62
29.532	6.3	0	1.98
29.581	6.3	0	2.16
29.63	5.04	0.18	2.16
29.68	3.24	0.18	1.98
29.734	0.54	0.18	1.8
29.783	-1.98	0.18	1.26
29.838	-4.32	0.18	0.9
29.889	-5.76	0.18	0.36
29.942	-6.12	0	0.18
29.993	-5.4	-0.18	-0.18
30.053	-3.42	-0.54	-0.18
30.113	-0.54	-0.72	0.18
30.172	2.34	-0.9	0.54
30.226	4.5	-1.08	0.9
30.28	5.76	-1.08	1.44
30.336	5.76	-0.9	1.8
30.389	4.68	-0.72	1.98
30.444	2.52	-0.54	2.16
30.498	0	-0.18	1.98
30.551	-2.34	0	1.8
30.601	-4.32	0.18	1.44
30.654	-5.58	0.36	1.08
30.705	-5.76	0.54	0.54
30.757	-5.04	0.54	0.18
30.807	-3.24	0.54	0
30.86	-0.9	0.36	0
30.912	1.8	0.18	0
30.963	3.96	0	0.18
31.012	5.4	-0.18	0.54
31.067	5.94	-0.36	0.9
31.119	5.58	-0.54	1.44
31.175	3.78	-0.54	1.8
31.228	1.44	-0.54	1.98
31.283	-1.26	-0.54	2.16
31.339	-3.78	-0.54	1.98
31.396	-5.58	-0.54	1.62
31.452	-6.12	-0.54	1.26
31.51	-5.4	-0.54	0.9
31.567	-3.6	-0.54	0.36
31.624	-0.9	-0.54	0.18
31.679	1.8	-0.36	0
31.731	3.96	-0.36	0
31.784	5.58	-0.18	0.18
31.836	5.94	-0.18	0.36
31.889	5.4	0	0.9
31.94	3.78	0.18	1.26
31.992	1.62	0.36	1.62
32.042	-0.9	0.36	1.98
32.096	-3.24	0.36	1.98
32.145	-4.86	0.36	1.98
32.199	-5.76	0.36	1.98
32.25	-5.4	0.18	1.62
32.306	-4.14	0	1.26
32.356	-2.16	-0.36	0.72
32.414	0.54	-0.72	0.36
32.47	3.06	-0.9	0
32.525	4.86	-1.08	0
32.577	5.58	-1.08	0
32.631	5.22	-1.08	0.18
32.685	3.78	-0.9	0.54
32.738	1.8	-0.72	0.9
32.789	-0.54	-0.54	1.26
32.845	-3.06	-0.18	1.62
32.902	-4.86	0	1.98
32.954	-5.76	0.18	1.98
33.007	-5.4	0.36	1.98
33.059	-4.14	0.36	1.8
33.114	-1.98	0.36	1.44
33.168	0.54	0.36	1.08
33.219	2.88	0.18	0.72
33.271	4.86	0	0.36
33.322	5.76	0	0.18
33.371	5.76	-0.18	0
33.425	4.68	-0.18	0
33.478	2.7	-0.36	0.18
33.534	0.18	-0.36	0.54
33.588	-2.34	-0.36	1.08
33.644	-4.5	-0.36	1.44
33.701	-5.76	-0.54	1.8
33.755	-5.76	-0.54	1.98
33.811	-4.68	-0.54	1.98
33.867	-2.52	-0.72	1.8
33.922	0	-0.72	1.62
33.976	2.34	-0.72	1.26
34.031	4.5	-0.72	0.9
34.085	5.58	-0.54	0.54
34.139	5.58	-0.36	0.18
34.192	4.5	-0.18	0
34.245	2.52	0	0
34.294	0.36	0.36	0.18
34.345	-1.98	0.36	0.36
34.397	-3.96	0.54	0.72
34.451	-5.22	0.54	1.26
34.502	-5.4	0.54	1.62
34.556	-4.5	0.36	1.8
34.607	-3.06	0.18	1.98
34.659	-0.9	-0.18	1.98
34.717	1.8	-0.36	1.8
34.772	3.78	-0.72	1.44
34.829	5.04	-0.9	1.08
34.884	5.4	-0.9	0.72
34.938	4.5	-0.9	0.36
34.993	2.7	-0.9	0.18
35.048	0.18	-0.72	0
35.102	-2.16	-0.54	0
35.159	-4.32	-0.36	0.36
35.215	-5.4	-0.18	0.72
35.272	-5.4	0	1.08
35.324	-4.5	0	1.44
35.377	-2.52	0.18	1.8
35.427	-0.36	0.18	1.98
35.48	1.98	0.18	1.98
35.529	3.96	0.18	1.98
35.58	5.22	0	1.8
35.631	5.58	0	1.44
35.684	5.04	0	1.08
35.736	3.6	0	0.72
35.786	1.44	0	0.36
35.837	-0.9	0	0.18
35.889	-3.06	0	0
35.939	-4.68	-0.18	0
35.994	-5.58	-0.36	0.36
36.055	-5.22	-0.36	0.72
36.109	-3.78	-0.54	1.08
36.165	-1.62	-0.72	1.44
36.222	0.9	-0.9	1.8
36.277	3.06	-0.9	1.98
36.329	4.68	-0.9	1.98
36.386	5.22	-0.72	1.8
36.44	4.86	-0.54	1.62
36.495	3.42	-0.36	1.26
36.55	1.26	0	0.9
36.603	-1.08	0.18	0.54
