frequency	angle1	angle2	angle3
1.298701e-02	1.327818e-02	4.091050e-03	4.250815e-03
2.597403e-02	2.076270e-03	2.816910e-03	6.988959e-03
3.896104e-02	2.928260e-03	5.210114e-03	6.912789e-03
5.194805e-02	6.154048e-04	4.166781e-03	4.126723e-03
6.493506e-02	2.640564e-03	3.946086e-03	4.748231e-03
7.792208e-02	1.042392e-03	3.806767e-03	5.211884e-03
9.090909e-02	2.489924e-03	3.126848e-03	3.854470e-03
1.038961e-01	1.570694e-03	3.666205e-03	4.534207e-03
1.168831e-01	1.410423e-03	3.139813e-03	4.241439e-03
1.298701e-01	2.127909e-03	3.143513e-03	4.495663e-03
1.428571e-01	1.404609e-03	3.418891e-03	3.888608e-03
1.558442e-01	3.084791e-03	3.456107e-03	4.091282e-03
1.688312e-01	1.219947e-03	6.392983e-03	4.589101e-03
1.818182e-01	2.521340e-03	5.049473e-03	3.908185e-03
1.948052e-01	2.953701e-03	2.882416e-03	4.530251e-03
2.077922e-01	3.253558e-03	4.912552e-03	5.758774e-03
2.207792e-01	2.449336e-03	2.880539e-03	5.161575e-03
2.337662e-01	2.577486e-03	3.831819e-03	4.060212e-03
2.467532e-01	2.757412e-03	4.341116e-03	5.378956e-03
2.597403e-01	2.019189e-03	3.394062e-03	5.147989e-03
2.727273e-01	1.686597e-03	5.000029e-03	4.636368e-03
2.857143e-01	1.622803e-03	4.851747e-03	3.971554e-03
2.987013e-01	3.904525e-03	3.965584e-03	5.094656e-03
3.116883e-01	1.933997e-03	4.371136e-03	6.368187e-03
3.246753e-01	2.455985e-03	3.729686e-03	4.359928e-03
3.376623e-01	6.854344e-03	3.932714e-03	5.733034e-03
3.506494e-01	1.772552e-02	8.967761e-03	6.337460e-03
3.636364e-01	5.675768e-03	6.823127e-04	1.376663e-02
3.766234e-01	1.175246e-03	7.995783e-03	4.280335e-03
3.896104e-01	1.354961e-03	8.177914e-03	2.106519e-03
4.025974e-01	1.402972e-03	6.433728e-03	2.181357e-03
4.155844e-01	1.765830e-03	6.948406e-03	3.463670e-03
4.285714e-01	2.388942e-03	6.255027e-03	3.530060e-03
4.415584e-01	3.311574e-03	7.238699e-03	3.875221e-03
4.545455e-01	2.737718e-03	8.486787e-03	5.111574e-03
4.675325e-01	2.470509e-03	6.990587e-03	4.350305e-03
4.805195e-01	2.544968e-03	6.110058e-03	4.502848e-03
4.935065e-01	1.162394e-03	5.338128e-03	5.127718e-03
5.064935e-01	2.207982e-03	5.893856e-03	4.823617e-03
5.194805e-01	3.854575e-03	5.987549e-03	5.270065e-03
5.324675e-01	4.219303e-03	6.476351e-03	4.598173e-03
5.454545e-01	3.229667e-03	4.860141e-03	5.265121e-03
5.584416e-01	3.196394e-03	8.435484e-03	6.041318e-03
5.714286e-01	4.557199e-03	8.031750e-03	4.314244e-03
5.844156e-01	3.731225e-03	7.424238e-03	6.423597e-03
5.974026e-01	3.792798e-03	7.265546e-03	4.889602e-03
6.103896e-01	3.802050e-03	7.226664e-03	5.748115e-03
6.233766e-01	4.742943e-03	7.139464e-03	5.554548e-03
6.363636e-01	6.161434e-03	1.220503e-02	5.926846e-03
6.493506e-01	5.585827e-03	7.955701e-03	5.659504e-03
6.623377e-01	2.847048e-03	1.018966e-02	6.786274e-03
6.753247e-01	3.529169e-03	1.001873e-02	5.433211e-03
6.883117e-01	4.999585e-03	1.519292e-02	5.807277e-03
7.012987e-01	4.330795e-03	1.841818e-02	6.836456e-03
