frequency	angle1	angle2	angle3
1.726043e-02	1.114525e-03	3.390001e-03	5.125484e-04
3.452085e-02	1.081461e-03	3.385410e-03	6.644594e-04
5.178128e-02	1.501457e-03	3.384344e-03	3.566375e-04
6.904170e-02	1.012421e-03	1.028177e-03	9.674024e-04
8.630213e-02	4.095393e-04	8.566895e-04	1.876955e-04
1.035626e-01	1.061665e-03	3.477019e-03	1.025068e-04
1.208230e-01	5.237752e-04	3.931073e-03	5.197406e-04
1.380834e-01	1.617712e-03	5.156370e-03	4.013407e-04
1.553438e-01	1.070953e-03	1.816407e-03	2.093999e-04
1.726043e-01	7.031347e-04	2.132482e-03	2.459118e-04
1.898647e-01	1.250327e-03	3.666357e-03	9.773784e-04
2.071251e-01	1.218376e-03	2.329124e-03	8.178488e-04
2.243855e-01	4.563023e-04	1.862342e-03	2.837994e-04
2.416460e-01	1.025288e-03	2.793249e-03	4.922262e-05
2.589064e-01	4.398609e-04	3.086255e-03	2.086370e-04
2.761668e-01	9.259547e-04	5.177113e-03	3.166945e-04
2.934272e-01	5.940997e-04	3.046065e-03	3.267556e-04
3.106877e-01	8.720228e-04	4.042624e-03	7.322975e-04
3.279481e-01	8.773845e-04	2.382726e-03	7.137120e-04
3.452085e-01	1.532709e-03	5.124489e-03	6.116612e-04
3.624689e-01	1.557872e-03	5.163823e-03	3.797051e-04
3.797294e-01	8.531417e-04	4.513106e-03	5.753813e-04
3.969898e-01	9.218987e-04	5.460246e-03	8.958992e-04
4.142502e-01	4.532167e-04	1.582045e-03	1.056608e-04
4.315106e-01	1.561504e-03	3.835225e-03	4.238940e-04
4.487711e-01	6.251610e-04	4.081936e-03	3.358166e-04
4.660315e-01	1.892271e-03	2.568673e-03	2.922150e-04
4.832919e-01	2.984406e-03	3.654513e-03	3.777225e-04
5.005523e-01	2.261377e-03	5.139152e-03	5.050521e-04
5.178128e-01	1.796490e-03	6.570972e-03	8.995368e-04
5.350732e-01	1.590618e-03	4.134369e-03	4.228009e-04
5.523336e-01	1.975499e-03	6.208672e-03	7.895086e-04
5.695940e-01	1.460283e-03	5.994250e-03	2.758483e-04
5.868545e-01	1.879808e-03	6.568430e-03	7.958587e-04
6.041149e-01	2.154219e-03	6.956931e-03	4.009246e-04
6.213753e-01	3.354194e-03	1.080324e-02	5.485509e-04
6.386357e-01	2.308912e-03	8.497641e-03	1.614015e-04
6.558962e-01	2.668427e-03	9.655765e-03	2.945813e-04
6.731566e-01	2.917305e-03	1.019632e-02	4.309579e-04
6.904170e-01	3.085145e-03	1.293255e-02	3.358682e-04
7.076774e-01	1.669071e-03	6.390771e-03	3.227271e-04
7.249379e-01	3.191086e-03	1.042478e-02	1.406376e-04
7.421983e-01	2.745145e-03	9.203391e-03	5.901445e-04
7.594587e-01	4.437725e-03	1.597887e-02	2.995162e-04
7.767191e-01	4.932124e-03	1.789319e-02	2.747175e-04
7.939796e-01	6.092357e-03	2.283221e-02	5.344157e-04
8.112400e-01	8.026753e-03	3.016875e-02	2.093621e-04
8.285004e-01	1.071566e-02	3.835341e-02	2.953683e-04
8.457608e-01	2.236479e-02	8.187198e-02	2.192538e-03
8.630213e-01	4.290722e-02	1.500956e-01	3.876131e-03
8.802817e-01	2.839046e-01	1.000000e+00	2.484653e-02
8.975421e-01	2.791863e-02	9.575456e-02	3.833365e-03
9.148025e-01	1.964559e-02	6.607007e-02	2.503574e-03
9.320630e-01	1.252008e-02	4.272333e-02	2.153093e-03
9.493234e-01	1.010553e-02	3.211556e-02	2.179240e-03
9.665838e-01	9.624974e-03	3.087339e-02	1.708061e-03
9.838442e-01	5.654989e-03	1.819641e-02	9.077631e-04
1.001105e+00	8.453611e-03	2.478179e-02	7.878791e-04
1.018365e+00	5.349767e-03	1.436950e-02	7.812477e-04
1.035626e+00	6.343863e-03	1.653277e-02	1.175772e-03
1.052886e+00	5.178245e-03	1.289127e-02	1.220716e-03
1.070146e+00	4.223108e-03	1.194834e-02	1.136515e-03
1.087407e+00	5.112935e-03	1.414138e-02	1.228727e-03
1.104667e+00	2.780484e-03	4.928370e-03	1.629609e-03
1.121928e+00	3.971907e-03	7.571581e-03	1.913907e-03
1.139188e+00	2.763858e-03	8.464384e-03	1.822451e-03
1.156448e+00	3.708939e-03	8.025392e-03	1.868874e-03
1.173709e+00	3.294686e-03	6.365473e-03	1.839388e-03
1.190969e+00	3.988137e-03	6.710203e-03	3.097114e-03
1.208230e+00	4.277666e-03	6.901955e-03	3.791655e-03
1.225490e+00	3.102679e-03	5.397672e-03	6.511305e-03
1.242751e+00	5.969076e-03	9.232126e-03	8.022285e-03
1.260011e+00	6.361568e-03	7.372436e-03	1.097392e-02
1.277271e+00	6.557612e-03	5.810466e-03	1.036857e-02
1.294532e+00	8.274691e-03	3.975236e-03	5.082632e-03
1.311792e+00	1.103856e-02	4.318404e-03	3.478897e-03
1.329053e+00	2.159934e-02	4.542531e-03	2.924629e-03
1.346313e+00	6.076224e-02	2.093493e-03	1.749395e-03
1.363574e+00	4.384347e-02	6.943395e-03	2.126038e-03
1.380834e+00	1.237040e-02	3.066043e-03	1.761013e-03
1.398094e+00	9.756102e-03	6.937585e-03	1.177315e-03
1.415355e+00	6.895976e-03	5.747267e-03	1.296958e-03
1.432615e+00	5.163143e-03	4.061708e-03	1.147070e-03
1.449876e+00	4.448586e-03	5.418672e-03	1.119152e-03
1.467136e+00	3.463721e-03	5.043745e-03	7.223321e-04
1.484397e+00	4.222533e-03	6.875180e-03	5.442605e-04
1.501657e+00	2.126978e-03	5.035126e-03	2.118119e-04
1.518917e+00	2.410560e-03	3.984057e-03	7.267263e-04
1.536178e+00	1.336698e-03	3.709270e-03	4.232779e-04
1.553438e+00	1.964912e-03	4.385527e-03	1.808634e-04
1.570699e+00	1.818456e-03	5.271288e-03	8.698654e-05
1.587959e+00	1.267278e-03	3.335202e-03	3.346756e-04
1.605220e+00	1.024866e-03	3.073908e-03	5.286444e-04
1.622480e+00	3.885128e-04	5.449328e-03	1.706732e-04
1.639740e+00	1.575127e-03	4.938676e-03	2.387045e-04
1.657001e+00	3.340751e-04	5.273359e-03	8.811113e-04
1.674261e+00	7.240250e-04	4.141556e-03	7.031779e-04
1.691522e+00	9.831113e-04	4.826703e-03	7.618275e-04
1.708782e+00	8.877736e-04	5.765310e-03	4.878201e-04
1.726043e+00	1.827217e-03	8.834120e-03	5.708231e-04
1.743303e+00	1.899159e-03	1.201850e-02	5.094988e-04
1.760563e+00	9.397132e-03	2.764833e-02	1.210531e-03
1.777824e+00	2.130477e-03	2.712607e-03	4.281699e-04
1.795084e+00	1.678347e-03	5.333932e-04	7.414931e-04
1.812345e+00	1.233839e-03	2.247246e-03	3.759024e-04
1.829605e+00	9.864968e-04	3.943149e-04	1.131409e-04
1.846866e+00	1.098139e-03	8.618600e-04	4.195734e-04
1.864126e+00	7.586238e-04	1.706001e-03	3.289999e-04
1.881386e+00	6.715654e-04	1.842821e-03	6.098118e-04
1.898647e+00	2.997515e-04	2.177245e-03	5.839956e-04
1.915907e+00	7.741290e-04	1.885980e-03	3.731131e-05
1.933168e+00	4.460795e-04	2.839342e-03	4.247949e-04
1.950428e+00	1.205669e-03	2.327053e-03	4.500061e-04
1.967688e+00	1.071059e-03	2.713669e-03	2.654088e-04
1.984949e+00	5.732811e-04	1.882975e-03	2.907893e-04
2.002209e+00	4.312071e-04	3.585713e-03	1.126930e-04
2.019470e+00	7.324404e-04	2.233086e-03	3.239288e-04
2.036730e+00	6.648435e-04	2.781468e-03	1.891872e-04
2.053991e+00	1.972503e-04	2.145100e-03	2.699505e-04
2.071251e+00	4.942358e-04	1.915990e-03	6.154285e-04
2.088511e+00	7.667452e-04	2.106826e-03	2.456643e-05
2.105772e+00	1.248460e-04	2.579483e-03	3.542646e-04
2.123032e+00	1.182495e-03	2.686414e-03	4.081250e-04
2.140293e+00	1.373885e-04	1.610695e-03	7.361253e-04
2.157553e+00	6.616093e-04	1.685709e-03	3.306260e-04
2.174814e+00	9.322241e-04	1.714507e-03	2.752064e-04
2.192074e+00	7.990419e-04	1.758509e-03	2.698379e-04
2.209334e+00	1.535742e-03	2.038662e-03	4.591645e-04
2.226595e+00	3.353055e-03	2.048658e-03	1.410476e-04
2.243855e+00	1.899888e-03	3.081937e-03	9.575907e-05
2.261116e+00	2.954844e-04	2.874598e-03	3.152648e-04
