frequency	angle1	angle2	angle3
1.145239e-02	5.430553e-03	8.497371e-03	4.047472e-03
2.290478e-02	4.200251e-03	6.790195e-03	3.333598e-03
3.435718e-02	4.231260e-03	5.083809e-03	3.533189e-03
4.580957e-02	3.489397e-03	4.850844e-03	2.003740e-03
5.726196e-02	3.653917e-03	4.521622e-03	3.112725e-03
6.871435e-02	4.199135e-03	5.005402e-03	2.988362e-03
8.016675e-02	2.934299e-03	3.330935e-03	2.784997e-03
9.161914e-02	2.239649e-03	4.293356e-03	2.994032e-03
1.030715e-01	3.556329e-03	5.473552e-03	3.040616e-03
1.145239e-01	3.555633e-03	4.676995e-03	3.520201e-03
1.259763e-01	3.518791e-03	5.087194e-03	2.337228e-03
1.374287e-01	3.127619e-03	4.261157e-03	3.028515e-03
1.488811e-01	4.234020e-03	5.802810e-03	2.598435e-03
1.603335e-01	3.978570e-03	6.173499e-03	3.914737e-03
1.717859e-01	3.796215e-03	4.587016e-03	2.706950e-03
1.832383e-01	2.327313e-03	5.175686e-03	3.008606e-03
1.946907e-01	4.017345e-03	5.283843e-03	2.678385e-03
2.061431e-01	3.918218e-03	5.512335e-03	3.399007e-03
2.175955e-01	3.936050e-03	5.170319e-03	3.632644e-03
2.290478e-01	3.528051e-03	4.717615e-03	2.393018e-03
2.405002e-01	4.197455e-03	6.546468e-03	2.483402e-03
2.519526e-01	4.209502e-03	6.538237e-03	3.333757e-03
2.634050e-01	4.183935e-03	6.214492e-03	2.739122e-03
2.748574e-01	3.609843e-03	4.035482e-03	1.642054e-03
2.863098e-01	2.437921e-03	3.786661e-03	2.521714e-03
2.977622e-01	4.657527e-03	7.719336e-03	4.012409e-03
3.092146e-01	3.701091e-03	5.025507e-03	2.682517e-03
3.206670e-01	4.473811e-03	9.069767e-03	4.848112e-03
3.321194e-01	4.596934e-03	6.326543e-03	3.309623e-03
3.435718e-01	4.566255e-03	8.126541e-03	3.611030e-03
3.550242e-01	3.585377e-03	5.122688e-03	3.495731e-03
3.664766e-01	4.379762e-03	7.235425e-03	3.936266e-03
3.779289e-01	4.753081e-03	8.085765e-03	4.714639e-03
3.893813e-01	3.604711e-03	8.625466e-03	4.422488e-03
4.008337e-01	6.028618e-03	8.990260e-03	5.147654e-03
4.122861e-01	5.947215e-03	1.023553e-02	5.045465e-03
4.237385e-01	4.821044e-03	8.025812e-03	4.459449e-03
4.351909e-01	6.669210e-03	1.043877e-02	4.790799e-03
4.466433e-01	5.547453e-03	5.590539e-03	4.082418e-03
4.580957e-01	7.857908e-03	9.207972e-03	5.239408e-03
4.695481e-01	7.344814e-03	1.312703e-02	6.443053e-03
4.810005e-01	2.508604e-03	9.558442e-03	7.966114e-03
