frequency	angle1	angle2	angle3
1.819836e-02	9.404020e-03	1.368024e-03	1.465945e-04
3.639672e-02	1.363749e-02	6.267277e-04	8.324030e-04
5.459509e-02	1.051923e-02	1.106564e-03	9.034441e-04
7.279345e-02	6.494743e-03	1.319499e-03	3.046017e-04
9.099181e-02	5.986992e-03	4.801139e-04	1.510592e-03
1.091902e-01	8.051461e-03	1.145212e-04	8.311251e-04
1.273885e-01	7.084354e-03	4.536753e-04	7.301358e-04
1.455869e-01	7.475224e-03	1.090692e-03	4.415105e-04
1.637853e-01	8.762728e-03	8.780783e-04	6.885609e-04
1.819836e-01	6.624547e-03	5.650904e-04	6.404836e-04
2.001820e-01	7.526308e-03	3.005427e-04	7.891062e-04
2.183803e-01	8.154355e-03	1.924526e-03	1.271910e-03
2.365787e-01	9.959379e-03	4.764768e-04	1.174357e-03
2.547771e-01	8.146739e-03	2.560493e-04	6.663749e-04
2.729754e-01	9.872442e-03	8.680568e-04	8.313521e-04
2.911738e-01	6.533177e-03	4.249456e-04	1.418306e-03
3.093722e-01	6.818576e-03	7.049409e-04	9.879644e-04
3.275705e-01	8.021439e-03	8.359817e-04	6.583283e-04
3.457689e-01	9.010517e-03	1.040124e-03	2.933963e-04
3.639672e-01	1.072111e-02	5.728830e-04	2.840279e-04
3.821656e-01	9.591702e-03	5.640389e-04	4.792573e-04
4.003640e-01	8.333375e-03	5.783118e-04	1.348364e-03
4.185623e-01	1.011588e-02	5.633195e-04	1.284500e-03
4.367607e-01	1.042331e-02	1.135971e-03	5.727664e-04
4.549591e-01	9.316994e-03	1.745688e-03	2.362711e-03
4.731574e-01	1.389634e-02	4.448629e-04	6.781881e-04
4.913558e-01	2.069641e-02	4.764281e-04	1.758526e-03
5.095541e-01	3.890069e-02	1.351496e-03	7.977139e-03
5.277525e-01	1.311712e-02	1.797003e-03	3.933183e-03
5.459509e-01	1.511651e-02	1.751740e-03	5.457777e-03
5.641492e-01	1.536770e-02	1.032782e-03	1.231472e-03
5.823476e-01	1.392261e-02	1.274960e-03	1.018506e-03
6.005460e-01	1.643850e-02	1.182228e-03	3.521335e-04
6.187443e-01	1.626452e-02	4.881806e-04	1.179650e-03
6.369427e-01	1.263428e-02	1.635196e-03	1.725824e-03
6.551410e-01	1.075438e-02	1.155699e-03	1.443503e-03
6.733394e-01	1.426128e-02	1.422969e-03	3.009008e-04
6.915378e-01	1.548691e-02	1.218981e-03	3.826311e-04
7.097361e-01	1.346238e-02	2.245758e-03	6.513901e-04
7.279345e-01	1.423513e-02	2.572322e-03	6.970429e-04
7.461328e-01	1.543230e-02	2.169417e-03	1.290761e-03
7.643312e-01	1.353517e-02	2.555153e-03	6.782478e-04
7.825296e-01	1.629375e-02	4.240429e-03	2.086275e-03
8.007279e-01	1.599123e-02	4.697253e-03	8.677578e-04
8.189263e-01	1.667639e-02	5.447198e-03	2.649636e-03
8.371247e-01	1.454732e-02	3.105195e-03	1.636629e-03
8.553230e-01	2.584554e-02	7.079490e-03	9.945056e-04
8.735214e-01	2.169210e-02	7.890989e-03	2.908610e-03
8.917197e-01	2.724455e-02	1.732019e-02	6.544505e-03
9.099181e-01	2.051509e-02	2.131149e-02	8.676824e-03
9.281165e-01	3.318749e-02	3.488164e-02	1.391475e-02
9.463148e-01	3.305146e-02	1.269204e-01	4.993263e-02
9.645132e-01	1.981776e-02	6.828800e-03	1.426181e-03
9.827116e-01	1.963564e-02	1.003084e-02	4.503670e-03
1.000910e+00	2.611914e-02	1.335258e-02	7.275997e-03
1.019108e+00	1.928232e-02	8.466172e-03	3.206702e-03
1.037307e+00	3.134345e-02	7.318439e-03	3.996356e-03
1.055505e+00	2.464221e-02	3.135600e-03	2.744148e-03
