# Filename - Main Frequency Angle 1, Main Frequency Angle 2, Main Frequency Angle 3
001_26.tsv - 1.3303, 0.8455, 1.2288
111_36.tsv - 1.2808, 0.8429, 1.2370
111_11.tsv - 1.1805, 0.8264, 1.1913
010_66.tsv - 0.8519, 0.8519, 0.8519
001_46.tsv - 1.3263, 0.8547, 1.3263
111_16_61.tsv - 1.1963, 0.8363, 1.2079
01046.tsv - 0.8498, 0.8498, 0.8498
101_26.tsv - 1.3189, 0.8402, 1.2114
001_15.tsv - 1.2715, 0.8408, 0.0205
010_26.tsv - 0.8378, 0.8378, 0.8378
101_46.tsv - 1.3250, 0.8505, 1.2713
cross111_16_26.tsv - 1.2452, 0.8334, 1.2059
010_15.tsv - 0.8308, 0.8308, 0.8308
001_66.tsv - 1.3144, 0.8552, 1.3303
101_15.tsv - 1.2771, 0.8375, 1.1934
101_66.tsv - 1.3147, 0.8574, 1.3474
001_16.tsv - 1.3147, 0.8383, 1.2003
010_16.tsv - 0.8415, 0.8415, 0.8415
101_16.tsv - 1.3144, 0.8348, 1.1901
